Rank,Title,Website,Employees,Sector,Industry,Hqlocation,Hqaddr,Hqcity,Hqstate,Hqzip,Hqtel,Ceo,Ceo-title,Address,Ticker,Fullname,Revenues,Revchange,Profits,Prftchange,Assets,Totshequity
166,PNC Financial Services Group,http://www.pnc.com,50683,Financials,Commercial Banks,"Pittsburgh, PA",300 Fifth Ave.,Pittsburgh,PA,15222,888-762-2265,William S. Demchak,"Chairman, President & Chief Executive Officer","300 Fifth Ave., Pittsburgh, PA 15222",PNC,"The PNC Financial Services Group, Inc.",16423,0.9,3903,-4.9,366380,45699
167,American Electric Power,http://www.aep.com,17634,Energy,Utilities: Gas and Electric,"Columbus, OH",1 Riverside Plaza,Columbus,OH,43215,614-716-1000,Nicholas K. Akins,"Chairman, President & Chief Executive Officer","1 Riverside Plaza, Columbus, OH 43215",AEP,"American Electric Power Company, Inc.",16380,-3.1,610.9,-70.2,63468,17397
168,Icahn Enterprises,http://www.ielp.com,90980,Financials,Diversified Financials,"New York, NY",767 Fifth Ave.,New York,NY,10153,212-702-4300,Keith Cozza,"President, Chief Executive Officer & Director","767 Fifth Ave., New York, NY 10153",IEP,Icahn Enterprises L.P.,16348,7,-1128,-70.2,33335,2154
169,Nucor,http://www.nucor.com,23900,Materials,Metals,"Charlotte, NC",1915 Rexford Rd.,Charlotte,NC,28211,704-366-7000,John J. Ferriola,"Chairman, President & Chief Executive Officer","1915 Rexford Rd., Charlotte, NC 28211",NUE,Nucor Corporation,16208,-1.4,796.3,122.6,15224,7880
170,NextEra Energy,http://www.nexteraenergy.com,14700,Energy,Utilities: Gas and Electric,"Juno Beach, FL",700 Universe Blvd.,Juno Beach,FL,33408,561-694-4000,James L. Robo,"Chairman, President & Chief Executive Officer","700 Universe Blvd., Juno Beach, FL 33408",NEE,"NextEra Energy, Inc.",16155,-7.6,2912,5.8,89993,24341
171,Performance Food Group,http://www.pfgc.com,13000,Wholesalers,Wholesalers: Food and Grocery,"Richmond, VA",12500 W. Creek Pkwy.,Richmond,VA,23238,804-484-7700,George L. Holm,"President, Chief Executive Officer & Director","12500 W. Creek Pkwy., Richmond, VA 23238",PFGC,Performance Food Group Company,16105,5.5,68.3,20.9,3455,803
172,PBF Energy,http://www.pbfenergy.com,3165,Energy,Petroleum Refining,"Parsippany, NJ",1 Sylvan Way,Parsippany,NJ,7054,973-455-7500,Thomas J. Nimbley,Chairman & Chief Executive Officer,"1 Sylvan Way, Parsippany, NJ 07054",PBF,PBF Energy Inc.,15920,21.3,170.8,16.7,7622,2025
173,Halliburton,http://www.halliburton.com,50000,Energy,"Oil and Gas Equipment, Services","Houston, TX",3000 N. Sam Houston Pkwy E.,Houston,TX,77032,281-871-2699,Jeffrey A. Miller,"President, Chief Executive Officer & Director","3000 N. Sam Houston Pkwy E., Houston, TX 77032",HAL,Halliburton Company,15887,-32.8,-5763,16.7,27000,9409
174,CarMax,http://www.carmax.com,22429,Retailing,"Automotive Retailing, Services","Richmond, VA",12800 Tuckahoe Creek Pkwy.,Richmond,VA,23238,804-747-0422,William D. Nash,"President, Chief Executive Officer & Director","12800 Tuckahoe Creek Pkwy., Richmond, VA 23238",KMX,"CarMax, Inc.",15833,6.4,623.4,4.4,14482,2905
175,Freeport-McMoRan,http://www.fcx.com,30000,Energy,"Mining, Crude-Oil Production","Phoenix, AZ",333 N. Central Ave.,Phoenix,AZ,85004,602-366-8100,Richard C. Adkerson,"President, Chief Executive Officer & Director","333 N. Central Ave., Phoenix, AZ 85004",FCX,Freeport-McMoRan Inc.,15789,-0.6,-4154,4.4,37317,6051
176,Whole Foods Market,http://www.wholefoodsmarket.com,73515,Food & Drug Stores,Food and Drug Stores,"Austin, TX",550 Bowie St.,Austin,TX,78703,512-477-4455,John P. Mackey,Chief Executive Officer & Director,"550 Bowie St., Austin, TX 78703",WFM,"Whole Foods Market, Inc.",15724,2.2,507,-5.4,6341,3224
177,Bank of New York Mellon,http://www.bnymellon.com,52000,Financials,Commercial Banks,"New York, NY",225 Liberty St.,New York,NY,10286,212-495-1784,Gerald L. Hassell,Chairman & Chief Executive Officer,"225 Liberty St., New York, NY 10286",BK,The Bank of New York Mellon Corporation,15683,1,3547,12.3,333469,38811
178,Gap,http://www.gapinc.com,135000,Retailing,Specialty Retailers: Apparel,"San Francisco, CA",2 Folsom St.,San Francisco,CA,94105,415-427-0100,Arthur L. Peck,"President, Chief Executive Officer & Director","2 Folsom St., San Francisco, CA 94105",GPS,"The Gap, Inc.",15516,-1.8,676,-26.5,7610,2904
179,Omnicom Group,http://www.omnicomgroup.com,78500,Business Services,"Advertising, Marketing","New York, NY",437 Madison Ave.,New York,NY,10022,212-415-3600,John D. Wren,"President, Chief Executive Officer & Director","437 Madison Ave., New York, NY 10022",OMC,Omnicom Group Inc.,15417,1.9,1148.6,5,23165,2162
180,Genuine Parts,http://www.genpt.com,40000,Wholesalers,Wholesalers: Diversified,"Atlanta, GA",2999 Wildwood Pkwy.,Atlanta,GA,30339,678-934-5000,Paul D. Donahue,"President, Chief Executive Officer & Director","2999 Wildwood Pkwy., Atlanta, GA 30339",GPC,Genuine Parts Company,15340,0.4,687.2,-2.6,8859,3194
181,DaVita,http://www.davita.com,70300,Health Care,Health Care: Medical Facilities,"Denver, CO",2000 16th St.,Denver,CO,80202,303-405-2100,Kent J. Thiry,Co-Chairman & Chief Executive Officer,"2000 16th St., Denver, CO 80202",DVA,DaVita Inc.,15197,6.9,879.9,226.2,18741,4648
182,Colgate-Palmolive,http://www.colgatepalmolive.com,36700,Household Products,Household and Personal Products,"New York, NY",300 Park Ave.,New York,NY,10022,212-310-2000,Ian M. Cook,"Chairman, President & Chief Executive Officer","300 Park Ave., New York, NY 10022",CL,Colgate-Palmolive Company,15195,-5.2,2441,76.4,12123,-243
183,PPG Industries,http://www.ppg.com,47000,Chemicals,Chemicals,"Pittsburgh, PA",1 PPG Place,Pittsburgh,PA,15272,412-434-3131,Michael H. McGarry,Chairman & Chief Executive Officer,"1 PPG Place, Pittsburgh, PA 15272",PPG,"PPG Industries, Inc.",15178,-1,877,-37.6,15769,4826
184,Goodyear Tire & Rubber,http://www.goodyear.com,66000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Akron, OH",200 Innovation Way,Akron,OH,44316,330-796-2121,Richard J. Kramer,"Chairman, President & Chief Executive Officer","200 Innovation Way, Akron, OH 44316",GT,The Goodyear Tire & Rubber Company,15158,-7.8,1264,311.7,16511,4507
185,Synchrony Financial,http://www.synchronyfinancial.com,15000,Financials,Diversified Financials,"Stamford, CT",777 Long Ridge Rd.,Stamford,CT,6902,203-585-2400,Margaret M. Keane,"President, Chief Executive Officer & Director","777 Long Ridge Rd., Stamford, CT 06902",SYF,Synchrony Financial,15122,11,2251,1.7,90207,14196
186,DISH Network,http://www.dish.com,16000,Telecommunications,Telecommunications,"Englewood, CO",9601 S. Meridian Blvd.,Englewood,CO,80112,303-723-1000,Charles W. Ergen,Chairman & Chief Executive Officer,"9601 S. Meridian Blvd., Englewood, CO 80112",DISH,DISH Network Corporation,15095,0.2,1449.9,94.1,28092,4637
187,Visa,http://www.visa.com,14200,Business Services,Financial Data Services,"Foster City, CA",900 Metro Center Blvd.,Foster City,CA,94404,650-432-3200,Alfred F. Kelly Jr.,Chief Executive Officer & Director,"900 Metro Center Blvd., Foster City, CA 94404",V,Visa Inc.,15082,8.7,5991,-5.3,64035,32912
188,Nordstrom,http://www.nordstrom.com,72500,Retailing,General Merchandisers,"Seattle, WA",1617 Sixth Ave.,Seattle,WA,98101,206-628-2111,Blake W. Nordstrom,"Principal Executive Officer, Co-President and Director","1617 Sixth Ave., Seattle, WA 98101",JWN,"Nordstrom, Inc.",14757,2.2,354,-41,7858,870
189,INTL FCStone,http://www.intlfcstone.com,1464,Financials,Diversified Financials,"New York, NY",708 Third Ave.,New York,NY,10017,212-485-3500,Sean M. O'Connor,"President, Chief Executive Officer & Director","708 Third Ave., New York, NY 10017",INTL,INTL FCStone Inc.,14755,-57.5,54.7,-1.8,5951,434
190,WestRock,http://www.westrock.com,39000,Materials,"Packaging, Containers","Richmond, VA",501 S. Fifth St.,Richmond,VA,23219,804-444-1000,Steven C. Voorhees,Chief Executive Officer & Director,"501 S. Fifth St., Richmond, VA 23219",WRK,WestRock Company,14706,29.2,-396.3,-178.2,23038,9729
191,XPO Logistics,http://www.xpo.com,87000,Transportation,Transportation and Logistics,"Greenwich, CT",5 American Lane,Greenwich,CT,6831,855-976-6951,Bradley S. Jacobs,Chairman & Chief Executive Officer,"5 American Lane, Greenwich, CT 06831",XPO,"XPO Logistics, Inc.",14619,91.8,69,-178.2,11698,2700
192,Aramark,http://www.aramark.com,217250,Business Services,Diversified Outsourcing Services,"Philadelphia, PA",1101 Market St.,Philadelphia,PA,19107,215-238-3000,Eric J. Foss,"Chairman, President & Chief Executive Officer","1101 Market St., Philadelphia, PA 19107",ARMK,Aramark,14416,0.6,287.8,22,10582,2161
193,CBS,http://www.cbscorporation.com,18410,Media,Entertainment,"New York, NY",51 W. 52nd St.,New York,NY,10019,212-975-4321,Leslie Moonves,Chairman & Chief Executive Officer,"51 W. 52nd St., New York, NY 10019",CBS,CBS Corporation,14386,3.6,1261,-10.8,24238,3689
194,AES,http://www.aes.com,19000,Energy,Utilities: Gas and Electric,"Arlington, VA",4300 Wilson Blvd.,Arlington,VA,22203,703-522-1315,Andres R. Gluski,"President, Chief Executive Officer & Director","4300 Wilson Blvd., Arlington, VA 22203",AES,The AES Corporation,14287,-4.5,-1130,-469.3,36119,2794
195,WellCare Health Plans,http://www.wellcare.com,7400,Health Care,Health Care: Insurance and Managed Care,"Tampa, FL",8725 Henderson Rd.,Tampa,FL,33634,813-290-6200,Kenneth A. Burdick,Chief Executive Officer & Director,"8725 Henderson Rd., Tampa, FL 33634",WCG,"WellCare Health Plans, Inc.",14237,2.5,242.1,104.1,6153,2000
196,FirstEnergy,http://www.firstenergycorp.com,15707,Energy,Utilities: Gas and Electric,"Akron, OH",76 S. Main St.,Akron,OH,44308,800-736-3402,Charles E. Jones,"President, Chief Executive Officer & Director","76 S. Main St., Akron, OH 44308",FE,FirstEnergy Corp.,14156,-3.1,-6177,"-1,168.70",43148,6241
197,Conagra Brands,http://www.conagrabrands.com,20900,"Food, Beverages & Tobacco",Food Consumer Products,"Chicago, IL",222 W. Merchandise Mart Plaza,Chicago,IL,60654,312-549-5000,Sean M. Connolly,"President, Chief Executive Officer & Director","222 W. Merchandise Mart Plaza, Chicago, IL 60654",CAG,"Conagra Brands, Inc.",14134,-10.8,-677,"-1,168.70",13391,3714
198,Synnex,http://www.synnex.com,110000,Wholesalers,Wholesalers: Electronics and Office Equipment,"Fremont, CA",44201 Nobel Dr.,Fremont,CA,94538,510-656-3333,Kevin M. Murai,"President, Chief Executive Officer & Director","44201 Nobel Dr., Fremont, CA 94538",SNX,Synnex Corporation,14062,5.4,234.9,12.7,5223,1976
199,CDW,http://www.cdw.com,8516,Technology,Information Technology Services,"Lincolnshire, IL",75 Tri-State International,Lincolnshire,IL,60069,847-465-6000,Thomas E. Richards,"Chairman, President & Chief Executive Officer","75 Tri-State International, Lincolnshire, IL 60069",CDW,CDW Corporation,13982,7.6,424.4,5.3,6948,1046
200,Textron,http://www.textron.com,36000,Aerospace & Defense,Aerospace and Defense,"Providence, RI",40 Westminster St.,Providence,RI,2903,401-421-2800,Scott C. Donnelly,"Chairman, President & Chief Executive Officer","40 Westminster St., Providence, RI 02903",TXT,Textron Inc.,13788,2.7,962,38,15358,5574
201,Waste Management,http://www.wm.com,41200,Business Services,Waste Management,"Houston, TX",1001 Fannin St.,Houston,TX,77002,713-512-6200,James C. Fish Jr.,"President, Chief Executive Officer & Director","1001 Fannin St., Houston, TX 77002",WM,"Waste Management, Inc.",13609,5,1182,57,20859,5297
202,Illinois Tool Works,http://www.itw.com,50000,Industrials,Industrial Machinery,"Glenview, IL",155 Harlem Ave.,Glenview,IL,60025,847-724-7500,E. Scott Santi,"Chairman, President & Chief Executive Officer","155 Harlem Ave., Glenview, IL 60025",ITW,Illinois Tool Works Inc.,13599,1.4,2035,7.2,15201,4254
203,Office Depot,http://www.officedepot.com,38000,Retailing,Specialty Retailers: Other,"Boca Raton, FL",6600 N. Military Trail,Boca Raton,FL,33496,561-438-4800,Gerry P. Smith,Chief Executive Officer & Director,"6600 N. Military Trail, Boca Raton, FL 33496",ODP,"Office Depot, Inc.",13585,-6.2,529,"6,512.50",5540,1852
204,Monsanto,http://www.monsanto.com,22450,Chemicals,Chemicals,"St. Louis, MO",800 N. Lindbergh Blvd.,St. Louis,MO,63167,314-694-1000,Hugh Grant,Chairman & Chief Executive Officer,"800 N. Lindbergh Blvd., St. Louis, MO 63167",MON,Monsanto Company,13502,-10,1336,-42.3,19736,4534
205,Cognizant Technology Solutions,http://www.cognizant.com,260200,Technology,Information Technology Services,"Teaneck, NJ",500 Frank W. Burr Blvd.,Teaneck,NJ,7666,201-801-0233,Francisco D'Souza,Chief Executive Officer & Director,"500 Frank W. Burr Blvd., Teaneck, NJ 07666",CTSH,Cognizant Technology Solutions Corporation,13487,8.6,1553,-4.3,14262,10728
206,Texas Instruments,http://www.ti.com,29865,Technology,Semiconductors and Other Electronic Components,"Dallas, TX",12500 TI Blvd.,Dallas,TX,75243,214-479-3773,Richard K. Templeton,"Chairman, President & Chief Executive Officer","12500 TI Blvd., Dallas, TX 75243",TXN,Texas Instruments Incorporated,13370,2.8,3595,20.4,16431,10473
207,Lincoln National,http://www.lfg.com,9057,Financials,"Insurance: Life, Health (Stock)","Radnor, PA",150 N. Radnor-Chester Rd.,Radnor,PA,19087,484-583-1400,Dennis R. Glass,"President, Chief Executive Officer & Director","150 N. Radnor-Chester Rd., Radnor, PA 19087",LNC,Lincoln National Corporation,13330,-1.8,1192,3.3,261627,14478
208,Newell Brands,http://www.newellbrands.com,53400,Household Products,"Home Equipment, Furnishings","Hoboken, NJ",221 River St.,Hoboken,NJ,7030,770-418-7000,Michael B. Polk,Chief Executive Officer & Director,"221 River St., Hoboken, NJ 07030",NWL,Newell Brands Inc.,13264,122.1,527.8,50.8,33838,11349
209,Land O’Lakes,http://www.landolakesinc.com,10000,"Food, Beverages & Tobacco",Food Consumer Products,"Arden Hills, MN",4001 Lexington Ave. N.,Arden Hills,MN,55126,651-375-2222,Christopher J. Policinski,"President, Chief Executive Officer & Director","4001 Lexington Ave. N., Arden Hills, MN 55126",NWL,"Land O'Lakes, Inc.",13233,0.6,244.9,-20.4,8305,1904
210,Marsh & McLennan,http://www.mmc.com,60000,Financials,Diversified Financials,"New York, NY",1166 Ave. of the Americas,New York,NY,10036,212-345-5000,Daniel S. Glaser,"President, Chief Executive Officer & Director","1166 Ave. of the Americas, New York, NY 10036",MMC,"Marsh & McLennan Companies, Inc.",13211,2.5,1768,10.6,18190,6192
211,Ecolab,http://www.ecolab.com,47565,Chemicals,Chemicals,"St. Paul, MN",1 Ecolab Place,St. Paul,MN,55102,800-232-6522,Douglas M. Baker Jr.,Chairman & Chief Executive Officer,"1 Ecolab Place, St. Paul, MN 55102",ECL,Ecolab Inc.,13153,-2.9,1229.6,22.7,18330,6901
212,C.H. Robinson Worldwide,http://www.chrobinson.com,14125,Transportation,Transportation and Logistics,"Eden Prairie, MN",14701 Charlson Rd.,Eden Prairie,MN,55347,952-937-8500,John P. Wiehoff,"Chairman, President & Chief Executive Officer","14701 Charlson Rd., Eden Prairie, MN 55347",CHRW,"C. H. Robinson Worldwide, Inc.",13144,-2.5,513.4,0.7,3688,1258
213,Loews,http://www.loews.com,15800,Financials,Insurance: Property and Casualty (Stock),"New York, NY",667 Madison Ave.,New York,NY,10065,212-521-2000,James S. Tisch,"President, Chief Executive Officer & Director","667 Madison Ave., New York, NY 10065",L,Loews Corporation,13105,-2.3,654,151.5,76594,18163
214,CBRE Group,http://www.cbre.com,75000,Financials,Real Estate,"Los Angeles, CA",400 S. Hope St.,Los Angeles,CA,90071,213-613-3333,Robert E. Sulentic,"President, Chief Executive Officer & Director","400 S. Hope St., Los Angeles, CA 90071",CBG,"CBRE Group, Inc.",13072,20.4,572,4.5,10780,3015
215,Kinder Morgan,http://www.kindermorgan.com,11121,Energy,Pipelines,"Houston, TX",1001 Louisiana St.,Houston,TX,77002,713-369-9000,Steven J. Kean,"President, Chief Executive Officer & Director","1001 Louisiana St., Houston, TX 77002",KMI,"Kinder Morgan, Inc.",13058,-9.3,708,179.8,80305,34431
216,Kellogg,http://www.kelloggcompany.com,37369,"Food, Beverages & Tobacco",Food Consumer Products,"Battle Creek, MI",1 Kellogg Sq.,Battle Creek,MI,49017,269-961-2000,John A. Bryant,Chairman & Chief Executive Officer,"1 Kellogg Sq., Battle Creek, MI 49017",K,Kellogg Company,13014,-3.8,694,13,15111,1910
217,Western Digital,http://www.westerndigital.com,72878,Technology,Computer Peripherals,"Irvine, CA",3355 Michelson Dr.,Irvine,CA,92612,949-672-7000,Stephen D. Milligan,Chief Executive Officer & Director,"3355 Michelson Dr., Irvine, CA 92612",WDC,Western Digital Corporation,12994,-10.8,242,-83.5,32862,11145
218,Guardian Life Ins. Co. of America,http://www.guardianlife.com,8876,Financials,"Insurance: Life, Health (Mutual)","New York, NY",7 Hanover Sq.,New York,NY,10004,212-598-8000,Deanna M. Mulligan,"President, Chief Executive Officer & Director","7 Hanover Sq., New York, NY 10004",WDC,Guardian Life Ins. Co. of America,12919,2.3,263.9,-35.7,70339,6172.5
219,Ross Stores,http://www.rossstores.com,78600,Retailing,Specialty Retailers: Apparel,"Dublin, CA",5130 Hacienda Dr.,Dublin,CA,94568,925-965-4400,Barbara Rentler,Chief Executive Officer & Director,"5130 Hacienda Dr., Dublin, CA 94568",ROST,"Ross Stores, Inc.",12867,7.8,1117.7,9.5,5309,2748
220,L Brands,http://www.lb.com,59100,Retailing,Specialty Retailers: Apparel,"Columbus, OH",3 Limited Pkwy.,Columbus,OH,43230,614-415-7000,Leslie H. Wexner,Chairman & Chief Executive Officer,"3 Limited Pkwy., Columbus, OH 43230",LB,"L Brands, Inc.",12574,3.5,1158.1,-7.6,8170,-729
221,J.C. Penney,http://www.jcpenney.com,106000,Retailing,General Merchandisers,"Plano, TX",6501 Legacy Dr.,Plano,TX,75024,972-431-1000,Marvin R. Ellison,Chairman & Chief Executive Officer,"6501 Legacy Dr., Plano, TX 75024",JCP,"J.C. Penney Company, Inc.",12547,-0.6,1,-7.6,9314,1354
222,Farmers Insurance Exchange,http://www.farmers.com,13309,Financials,Insurance: Property and Casualty (Mutual),"Woodland Hills, CA",6301 Owensmouth Ave.,Woodland Hills,CA,91367,323-932-3200,Jeffrey J. Dailey,Chief Executive Officer & Director,"6301 Owensmouth Ave., Woodland Hills, CA 91367",JCP,Farmers Insurance Exchange,12513,-0.9,-147.9,-7.6,16057,4219
223,Reynolds American,http://www.reynoldsamerican.com,5525,"Food, Beverages & Tobacco",Tobacco,"Winston-Salem, NC",401 N. Main St.,Winston-Salem,NC,27101,336-741-2000,Debra A. Crew,"President, Chief Executive Officer & Director","401 N. Main St., Winston-Salem, NC 27101",RAI,Reynolds American Inc.,12503,17.1,6073,86.7,51095,21711
224,Viacom,http://www.viacom.com,9650,Media,Entertainment,"New York, NY",1515 Broadway,New York,NY,10036,212-258-6000,Robert Bakish,"President, Chief Executive Officer & Director","1515 Broadway, New York, NY 10036",VIAB,Viacom Inc.,12488,-5.9,1438,-25.2,22508,4277
225,Becton Dickinson,http://www.bd.com,50928,Health Care,Medical Products and Equipment,"Franklin Lakes, NJ",1 Becton Dr.,Franklin Lakes,NJ,7417,201-847-6800,Vincent A. Forlenza,Chairman & Chief Executive Officer,"1 Becton Dr., Franklin Lakes, NJ 07417",BDX,"Becton, Dickinson and Company",12483,21.4,976,40.4,25586,7633
226,Micron Technology,http://www.micron.com,31400,Technology,Semiconductors and Other Electronic Components,"Boise, ID",8000 S. Federal Way,Boise,ID,83716,208-368-4000,Sanjay Mehrotra,"President, Chief Executive Officer & Director","8000 S. Federal Way, Boise, ID 83716",MU,"Micron Technology, Inc.",12399,-23.4,-276,-109.5,27540,12080
227,Principal Financial,http://www.principal.com,14854,Financials,"Insurance: Life, Health (Stock)","Des Moines, IA",711 High St.,Des Moines,IA,50392,515-247-5111,Daniel J. Houston,"Chairman, President & Chief Executive Officer","711 High St., Des Moines, IA 50392",PFG,"Principal Financial Group, Inc.",12394,3.6,1316.5,6.7,228014,10227
228,Arconic,http://www.arconic.com,41500,Aerospace & Defense,Aerospace and Defense,"New York, NY",390 Park Ave.,New York,NY,10022,212-836-2758,David P. Hess,Interim Chief Executive Officer & Director,"390 Park Ave., New York, NY 10022",ARNC,Arconic Inc.,12394,-45,-941,6.7,20038,5115
229,NRG Energy,http://www.nrg.com,8763,Energy,Energy,"Princeton, NJ",804 Carnegie Center,Princeton,NJ,8540,609-524-4500,Mauricio Gutierrez,"President, Chief Executive Officer & Director","804 Carnegie Center, Princeton, NJ 08540",NRG,"NRG Energy, Inc.",12351,-15.8,-774,6.7,30355,2041
230,VF,http://www.vfc.com,69000,Apparel,Apparel,"Greensboro, NC",105 Corporate Center Blvd.,Greensboro,NC,27408,336-424-6000,Steven E. Rendle,"President, Chief Executive Officer & Director","105 Corporate Center Blvd., Greensboro, NC 27408",VFC,V.F. Corporation,12207,-1.4,1074.1,-12.8,9739,4941
231,Devon Energy,http://www.devonenergy.com,3545,Energy,"Mining, Crude-Oil Production","Oklahoma City, OK",333 W. Sheridan Ave.,Oklahoma City,OK,73102,405-235-3611,David A. Hager,"President, Chief Executive Officer & Director","333 W. Sheridan Ave., Oklahoma City, OK 73102",DVN,Devon Energy Corporation,12197,-7.2,-3302,-12.8,25913,5927
232,D.R. Horton,http://www.drhorton.com,6976,Engineering & Construction,Homebuilders,"Fort Worth, TX",301 Commerce St.,Fort Worth,TX,76102,817-390-8200,David V. Auld,"President, Chief Executive Officer & Director","301 Commerce St., Fort Worth, TX 76102",DHI,"D.R. Horton, Inc.",12157,12.3,886.3,18.1,11559,6793
233,Bed Bath & Beyond,http://www.bedbathandbeyond.com,62000,Retailing,Specialty Retailers: Other,"Union, NJ",650 Liberty Ave.,Union,NJ,7083,908-688-0888,Steven H. Temares,Chief Executive Officer & Director,"650 Liberty Ave., Union, NJ 07083",BBBY,Bed Bath & Beyond Inc.,12104,1.9,841.5,-12.1,6499,2560
234,Consolidated Edison,http://www.conedison.com,14960,Energy,Utilities: Gas and Electric,"New York, NY",4 Irving Place,New York,NY,10003,212-460-4600,John McAvoy,Chairman & Chief Executive Officer,"4 Irving Place, New York, NY 10003",ED,"Consolidated Edison, Inc.",12075,-3.8,1245,4.4,48255,14298
235,Edison International,http://www.edisoninvestor.com,12390,Energy,Utilities: Gas and Electric,"Rosemead, CA",2244 Walnut Grove Ave.,Rosemead,CA,91770,626-302-2222,Pedro J. Pizarro,"President, Chief Executive Officer & Director","2244 Walnut Grove Ave., Rosemead, CA 91770",EIX,Edison International,11869,3,1311,28.5,51319,11996
236,Sherwin-Williams,http://www.sherwin.com,42550,Chemicals,Chemicals,"Cleveland, OH",101 W. Prospect Ave.,Cleveland,OH,44115,216-566-2000,John G. Morikis,"Chairman, President & Chief Executive Officer","101 W. Prospect Ave. , Cleveland, OH 44115",SHW,The Sherwin-Williams Company,11856,4.6,1132.7,7.5,6753,1878
237,NGL Energy Partners,http://www.nglenergypartners.com,3200,Energy,Energy,"Tulsa, OK",6120 S. Yale Ave.,Tulsa,OK,74136,918-481-1119,H. Michael Krimbill,Chief Executive Officer & Director,"6120 S. Yale Ave., Tulsa, OK 74136",NGL,NGL Energy Partners LP,11742,-30.1,-198.9,-633.2,5560,1656
238,Dominion Energy,http://www.dominionenergy.com,16200,Energy,Utilities: Gas and Electric,"Richmond, VA",120 Tredegar St.,Richmond,VA,23219,804-819-2000,Thomas F. Farrell II,"Chairman, President & Chief Executive Officer","120 Tredegar St., Richmond, VA 23219",D,"Dominion Energy, Inc.",11737,0.5,2123,11.8,71610,14605
239,Ameriprise Financial,http://www.ameriprise.com,13195,Financials,Diversified Financials,"Minneapolis, MN",55 Ameriprise Financial Center,Minneapolis,MN,55474,612-671-3131,James M. Cracchiolo,Chairman & Chief Executive Officer,"55 Ameriprise Financial Center, Minneapolis, MN 55474",AMP,"Ameriprise Financial, Inc.",11735,-3.8,1314,-15.9,139821,6292
240,ADP,http://www.adp.com,57000,Business Services,Diversified Outsourcing Services,"Roseland, NJ",1 ADP Blvd.,Roseland,NJ,7068,973-974-5000,Carlos A. Rodriguez,"President, Chief Executive Officer & Director","1 ADP Blvd., Roseland, NJ 07068",ADP,"Automatic Data Processing, Inc.",11668,1.7,1492.5,2.8,43670,4482
241,Hilton Worldwide Holdings,http://www.hiltonworldwide.com,169000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","McLean, VA",7930 Jones Branch Dr.,McLean,VA,22102,703-883-1000,Christopher J. Nassetta,"President, Chief Executive Officer & Director","7930 Jones Branch Dr., McLean, VA 22102",HLT,Hilton Worldwide Holdings Inc.,11663,3.5,348,-75.2,26211,5899
242,First Data,http://www.firstdata.com,24000,Business Services,Financial Data Services,"Atlanta, GA",5565 Glenridge Connector N.E.,Atlanta,GA,30342,404-890-2000,Frank J. Bisignano,Chairman & Chief Executive Officer,"5565 Glenridge Connector N.E., Atlanta, GA 30342",FDC,First Data Corporation,11584,1.2,420,-75.2,40292,1220
243,Henry Schein,http://www.henryschein.com,21000,Wholesalers,Wholesalers: Health Care,"Melville, NY",135 Duryea Rd.,Melville,NY,11747,631-843-5500,Stanley M. Bergman,Chairman & Chief Executive Officer,"135 Duryea Rd., Melville, NY 11747",HSIC,"Henry Schein, Inc.",11572,8.9,506.8,5.8,6730,2793
244,Toys “R” Us,http://www.toysrusinc.com,64000,Retailing,Specialty Retailers: Other,"Wayne, NJ",1 Geoffrey Way,Wayne,NJ,7470,973-617-3500,David A. Brandon,Chairman & Chief Executive Officer,"1 Geoffrey Way, Wayne, NJ 07470",HSIC,"Toys ""R"" Us, Inc.",11540,-2.2,-36,5.8,6908,-1292
245,BB&T Corp.,http://www.bbt.com,37500,Financials,Commercial Banks,"Winston-Salem, NC",200 W. Second St.,Winston-Salem,NC,27101,336-733-2000,Kelly S. King,Chairman & Chief Executive Officer,"200 W. Second St., Winston-Salem, NC 27101",BBT,BB&T Corporation,11538,11.5,2426,16.4,219276,29881
246,Reinsurance Group of America,http://www.rgare.com,2371,Financials,"Insurance: Life, Health (Stock)","Chesterfield, MO",16600 Swingley Ridge Rd.,Chesterfield,MO,63017,636-736-7000,Anna Manning,"President, Chief Executive Officer & Director","16600 Swingley Ridge Rd., Chesterfield, MO 63017",RGA,"Reinsurance Group of America, Incorporated",11522,10.6,701.4,39.7,53098,7093.1
247,Core-Mark Holding,http://www.core-mark.com,7688,Wholesalers,Wholesalers: Food and Grocery,"South San Francisco, CA",395 Oyster Point Blvd.,South San Francisco,CA,94080,650-589-9445,Thomas B. Perkins,"President, Chief Executive Officer & Director","395 Oyster Point Blvd., South San Francisco, CA 94080",CORE,"Core-Mark Holding Company, Inc.",11507,29.9,54.2,5.2,1497,530
248,Biogen,http://www.biogen.com,7400,Health Care,Pharmaceuticals,"Cambridge, MA",225 Binney St.,Cambridge,MA,2142,617-679-2000,Michel Vounatsos,Chief Executive Officer & Director,"225 Binney St., Cambridge, MA 02142",BIIB,Biogen Inc.,11449,6.4,3702.8,4.4,22877,12140
